ts_key;title;country;category
buil_ea_tot_1_bs_m;Euro Area, Business Surveys, DG ECFIN, Construction Confidence Indicator, Building Activity Development Over the Past 3 Months, Balance, SA;ea;Business Surveys
buil_ea_tot_3_bs_m;Euro Area, Business Surveys, DG ECFIN, Construction Confidence Indicator, Evolution of Your Current Overall Order Books, Balance, SA;ea;Business Surveys
buil_ea_tot_4_bs_m;Euro Area, Business Surveys, DG ECFIN, Construction Confidence Indicator, Employment Expectations Over the Next 3 Months, Balance, SA;ea;Business Surveys
buil_ea_tot_5_bs_m;Euro Area, Business Surveys, DG ECFIN, Construction Confidence Indicator, Prices Expectations Over the Next 3 Months, Balance, SA;ea;Business Surveys
buil_ea_tot_cof_bs_m;Euro Area, Business Surveys, DG ECFIN, Construction Confidence Indicator, Balance, SA;ea;Business Surveys
indu_ea_tot_cof_bs_m;Euro Area, Business Surveys, DG ECFIN, Industrial Confidence Indicator, Total Sector, Monthly, Balance, SA;ea;Business Surveys
euecfin0121;Euro Area, Business Surveys, DG ECFIN, Financial Confidence Indicator, Business Situation Development over the past 3 Months, Balance;ea;Business Surveys
euecfin0120;Euro Area, Business Surveys, DG ECFIN, Financial Confidence Indicator, Balance;ea;Business Surveys
euecfin0122;Euro Area, Business Surveys, DG ECFIN, Financial Confidence Indicator, Evolution of the Demand over the past 3 Months, Balance;ea;Business Surveys
euecfin0123;Euro Area, Business Surveys, DG ECFIN, Financial Confidence Indicator, Expectation of the Demand over the Next 3 Months, Balance;ea;Business Surveys
euecfin0124;Euro Area, Business Surveys, DG ECFIN, Financial Confidence Indicator, Evolution of the Employment over the past 3 Months, Balance;ea;Business Surveys
indu_ea_tot_1_bs_m;Euro Area, Business Surveys, DG ECFIN, Industrial Confidence Indicator, Total Sector, Monthly, Production Trend Observed in Recent Months, Balance, SA;ea;Business Surveys
indu_ea_tot_2_bs_m;Euro Area, Business Surveys, DG ECFIN, Industrial Confidence Indicator, Total Sector, Monthly, Assessment of Order-Book Levels, Balance, SA;ea;Business Surveys
indu_ea_tot_3_bs_m;Euro Area, Business Surveys, DG ECFIN, Industrial Confidence Indicator, Total Sector, Monthly, Assessment of Export Order-Book Levels, Balance, SA;ea;Business Surveys
indu_ea_tot_4_bs_m;Euro Area, Business Surveys, DG ECFIN, Industrial Confidence Indicator, Total Sector, Monthly, Assessment of Stocks of Finished Products, Balance, SA;ea;Business Surveys
indu_ea_tot_5_bs_m;Euro Area, Business Surveys, DG ECFIN, Industrial Confidence Indicator, Total Sector, Monthly, Production Expectations for the Months Ahead, Balance, SA;ea;Business Surveys
indu_ea_tot_6_bs_m;Euro Area, Business Surveys, DG ECFIN, Industrial Confidence Indicator, Total Sector, Monthly, Selling Price Expectations for the Months Ahead, Balance, SA;ea;Business Surveys
indu_ea_tot_7_bs_m;Euro Area, Business Surveys, DG ECFIN, Industrial Confidence Indicator, Total Sector, Monthly, Employment Expectations for the Months Ahead, Balance, SA;ea;Business Surveys
buil_ea_tot_2_f3s_m;Euro Area, Business Surveys, DG ECFIN, Construction Confidence Indicator, Main Factors Currently Limiting Your Building Activity, Weather Conditions, SA;ea;Business Surveys
buil_ea_tot_2_f2s_m;Euro Area, Business Surveys, DG ECFIN, Construction Confidence Indicator, Main Factors Currently Limiting Your Building Activity, Insufficient Demand, SA;ea;Business Surveys
euecfin1110;Euro Area, Economic Surveys, DG ECFIN, Economic Sentiment Indicator, Balance, SA, Index;ea;Business Surveys
serv_ea_tot_1_bs_m;Euro Area, Business Surveys, DG ECFIN, Services Confidence Indicator, Total Service Sector, Business Situation Development Over the Past 3 Months, Balance, SA;ea;Business Surveys
serv_ea_tot_cof_bs_m;Euro Area, Business Surveys, DG ECFIN, Services Confidence Indicator, Total Service Sector, Balance, SA;ea;Business Surveys
serv_ea_tot_2_bs_m;Euro Area, Business Surveys, DG ECFIN, Services Confidence Indicator, Total Service Sector, Evolution of the Demand Over the Past 3 Months, Balance, SA;ea;Business Surveys
serv_ea_tot_3_bs_m;Euro Area, Business Surveys, DG ECFIN, Services Confidence Indicator, Total Service Sector, Expectation of the Demand Over the Next 3 Months, Balance, SA;ea;Business Surveys
serv_ea_tot_5_bs_m;Euro Area, Business Surveys, DG ECFIN, Services Confidence Indicator, Total Service Sector, Expectations of the Employment Over the Next 3 Months, Balance, SA;ea;Business Surveys
reta_ea_tot_6_bs_m;Euro Area, Business Surveys, DG ECFIN, Retail Trade Confidence Indicator, Prices Expectations Over the Next 3 Months, Balance, SA;ea;Business Surveys
serv_ea_tot_6_bs_m;Euro Area, Business Surveys, DG ECFIN, Services Confidence Indicator, Total Service Sector, Expectations of the Prices Over the Next 3 Months, Balance, SA;ea;Business Surveys
reta_ea_tot_1_bs_m;Euro Area, Business Surveys, DG ECFIN, Retail Trade Confidence Indicator, Business Activity (Sales) Development Over the Past 3 Months, Balance, SA;ea;Business Surveys
reta_ea_tot_2_bs_m;Euro Area, Business Surveys, DG ECFIN, Retail Trade Confidence Indicator, Volume of Stock Currently Hold, Balance, SA;ea;Business Surveys
reta_ea_tot_3_bs_m;Euro Area, Business Surveys, DG ECFIN, Retail Trade Confidence Indicator, Orders Expectations Over the Next 3 Months, Balance, SA;ea;Business Surveys
reta_ea_tot_4_bs_m;Euro Area, Business Surveys, DG ECFIN, Retail Trade Confidence Indicator, Business Activity Expectations Over the Next 3 Months, Balance, SA;ea;Business Surveys
reta_ea_tot_5_bs_m;Euro Area, Business Surveys, DG ECFIN, Retail Trade Confidence Indicator, Employment Expectations Over the Next 3 Months, Balance, SA;ea;Business Surveys
reta_ea_tot_cof_bs_m;Euro Area, Business Surveys, DG ECFIN, Retail Trade Confidence Indicator, Balance, SA;ea;Business Surveys
prodfcc1scai15ea19co;Euro Area 19, Eurostat, Production in Construction, Volume Index of Production, Buildings (F_CC1), 2015=100, Calendar Adjusted, SA, Index;ea;Construction 
eucons0001;Euro Area 19, Construction Production Index, Construction, Calendar Adjusted, SA, Index;ea;Construction 
psqmfcc122scai15ea19cb;Euro Area 19, Eurostat, Building Permits, Building Permits - M2 of Useful Floor Area, Office Buildings (F_CC122), 2015=100, Calendar Adjusted, SA, Index;ea;Construction 
psqmfcc11scai15ea19cb;Euro Area 19, Eurostat, Building Permits, Building Permits - M2 of Useful Floor Area, Residential Buildings (F_CC11), 2015=100, Calendar Adjusted, SA, Index;ea;Construction 
psqmfcc12xcc122scai15ea19cb;Euro Area 19, Eurostat, Building Permits, Building Permits - M2 of Useful Floor Area, Non-Residential Buildings, Except Office Buildings (F_CC12_X_CC122), 2015=100, Calendar Adjusted, SA, Index;ea;Construction 
prodfcc2scai15ea19co;Euro Area 19, Eurostat, Production in Construction, Volume Index of Production, Civil Engineering Works (F_CC2), 2015=100, Calendar Adjusted, SA, Index;ea;Construction 
cons2_ea_tot_cof_bs_m;Euro Area, Consumer Surveys, DG ECFIN, Consumer Confidence, Balance, SA;ea;Consumer Surveys
cons2_ea_tot_4_bs_m;Euro Area, Consumer Surveys, DG ECFIN, Consumer Confidence, General Economic Situation Over Next 12 Months, Balance, SA;ea;Consumer Surveys
cons2_ea_re2_2_bs_m;Euro Area, Consumer Surveys, DG ECFIN, Subcategories - by Household Income, 2nd Quartile, Financial Situation over Next 12 Months, SA;ea;Consumer Surveys
cons2_ea_tot_11_bs_m;Euro Area, Consumer Surveys, DG ECFIN, Consumer Confidence, Savings Over Next 12 Months, Balance, SA;ea;Consumer Surveys
cons2_ea_tot_7_bs_m;Euro Area, Consumer Surveys, DG ECFIN, Consumer Confidence, Unemployment Expectations Over Next 12 Months, Balance, SA;ea;Consumer Surveys
ecb_00139115;Euro Area, ECB, ECB Reference Exchange Rate, USD, EUR, Average or Standardised Measure;ea;Financial Variables
ecb_00170141;Euro Area, ECB, Real Effective Exchange Rate CPI Deflated, EA19 vis-a-vis EER-42, EUR, Average or Standardised Measure, Index;ea;Financial Variables
sxbsce;Euro Area, Equity Indices, STOXX, Basic Materials, Index, Price Return, Close, EUR;ea;Financial Variables
